Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Sample_Name
1.8,13575.8,13573.2,1202.8,1202.6,1203.1,7270.2,7232.1,7204.2,3303.6,3303.5,3303.8,4836.5,4836.5,4837.1,21560.2,21557.3,12363.6,12366.9,5894.1,5893.8,5893.5,1070,1070.1,1070.3,3232,3233.2,3232.4,2903.7,2903.4,2904,13670.2,13667.2,59662.5,59651.8,85648.8,85579.3,85549.6,1395.6,1394.9,1395.3,5455.7,5454.6,5454.7,5467.1,5465.1,5465.9,28781.8,28781,14655.7,14648.5,2353.4,2353,2353,4995.6,4995.9,4996.1,2027.8,2027.4,2027.4,1950.9,1951,1951.1,11274.2,11275,37.439999,30.76,0.1
3.6,13575.5,13573.1,1202.8,1202.6,1202.9,7269.4,7231.1,7203,3303.5,3302.8,3303.2,4836.6,4836.6,4836.6,21552.6,21555.9,12359.2,12360.5,5892.7,5892,5893.2,1069.8,1070,1070.2,3233,3232.9,3232.5,2903.2,2903.1,2903.4,13667.3,13669,59612,59642.2,85590,85521.9,85487.7,1395.7,1394.9,1395.2,5455.2,5455.1,5455.3,5462.5,5460.2,5466.6,28774.1,28768.3,14654.3,14655.3,2354.5,2353.4,2353.8,4994.9,4994.8,4995.2,2027.6,2027.1,2027.5,1950.9,1950.8,1951,11277.6,11276.5,37.5,30.76,0.1
5.4,13575.9,13574.3,1202.6,1202.4,1202.7,7267.8,7230.7,7201.7,3302.9,3302.5,3302.9,4836.2,4836.5,4836.9,21550.3,21553,12357.4,12357.5,5892.2,5891.5,5892.1,1069.6,1069.9,1070.2,3232.6,3232.2,3232.6,2903.5,2903.3,2903.3,13665.3,13662,59642.6,59667.8,85508,85513.5,85466.2,1395.6,1394.6,1395.2,5455.3,5453.8,5454,5466.4,5465.5,5458.9,28767.1,28770.3,14655.4,14649.2,2354.4,2353.8,2353.6,4995.4,4994.6,4994.8,2027.5,2027.4,2027.6,1950.6,1950.7,1950.9,11274,11275.4,37.43,30.76,0.1
7.2,13577.3,13574.5,1202.5,1202.2,1202.6,7267.3,7229.2,7200.7,3302.8,3302.3,3302.7,4836.8,4836.1,4836.5,21557.7,21554.8,12360.7,12358,5892.3,5891.8,5891.7,1069.7,1070,1070.1,3232.3,3231.9,3231.9,2903.9,2903.3,2903.1,13662.4,13662.6,59594.6,59641.6,85543.7,85547.4,85556.3,1395.4,1394.9,1395.2,5455.6,5455.2,5454.3,5464.2,5462.5,5461.8,28764.8,28764.8,14648.6,14652.7,2353.4,2352.8,2352.8,4995.4,4995,4995.3,2027.5,2027.1,2027.3,1950.5,1950.6,1950.8,11269.7,11271,37.459999,30.74,0.1
9,13576.1,13576,1202.3,1202.3,1202.6,7265.9,7227.9,7200.2,3302.2,3301.9,3301.8,4836.4,4836.2,4836,21555.8,21559.9,12358.3,12357.3,5891.1,5891,5891,1069.8,1069.9,1070.1,3232,3231.7,3232.3,2903,2902.5,2903.1,13665.2,13663.2,59598.2,59611.9,85541.8,85564.8,85502.1,1395.5,1394.7,1395.2,5452.7,5452.3,5452.5,5464.5,5461.3,5461.8,28757.7,28758.5,14656.4,14653.7,2354.3,2353.4,2353.4,4994.5,4994.4,4994.5,2027.2,2026.9,2027,1950.9,1951,1951,11268.7,11269.8,37.459999,30.74,0.1
10.8,13575.8,13574.3,1202.3,1202,1202.4,7265,7227.1,7199,3301.8,3302,3302.2,4835.9,4835.9,4836.3,21550.6,21555.9,12356.2,12354,5890.9,5890.4,5890.9,1069.5,1069.9,1070,3231.8,3231.6,3233.2,2903.2,2902.4,2903,13662.8,13665.1,59584.2,59589.9,85489.9,85585.4,85553.1,1395.4,1394.8,1395.2,5454.2,5453.5,5453.9,5461.5,5459.5,5461.3,28757.4,28754.8,14650.2,14648.1,2353.6,2353,2352.7,4994,4993.8,4994.1,2027.1,2026.9,2026.8,1950.4,1950.4,1950.7,11270.8,11274.4,37.43,30.73,0.1
12.6,13575.6,13572.6,1202.1,1201.9,1202.3,7264.6,7227.2,7199,3301.9,3301.5,3301.8,4836.3,4835.7,4836,21556,21553.9,12351.6,12352,5890.3,5890.2,5890.3,1069.7,1069.8,1069.9,3232.2,3231.9,3232.5,2902.6,2902.2,2902.8,13665.5,13666.3,59619.5,59614.2,85552,85537.6,85531.9,1395.5,1394.7,1395.2,5453.5,5453.2,5453.3,5458.8,5458.9,5462.3,28755.6,28748.3,14646.5,14645.3,2353.7,2353.1,2353.2,4993.6,4993.9,4994,2027,2026.8,2026.9,1950.4,1950.3,1950.3,11270.8,11269.5,37.490002,30.73,0.1
14.4,13574,13572.8,1202.1,1201.9,1202.3,7263.4,7225.4,7197,3301.2,3301,3301.5,4836.2,4836,4836.5,21554.2,21553,12349.8,12348.9,5889.9,5889.9,5889.4,1069.5,1069.7,1070,3230.6,3230.9,3230.9,2902.7,2902.6,2902.8,13663,13661.3,59626.4,59610.8,85526.8,85554.8,85579,1395.3,1394.6,1395,5453,5451.9,5452.4,5457.7,5456.5,5457,28755.2,28759.6,14648.5,14646.2,2354.2,2353.4,2353.1,4993.8,4993.6,4993.9,2027,2026.7,2026.9,1950.4,1950.3,1950.3,11273.1,11272.1,37.43,30.77,0.1
16.2,13572.1,13574,1201.8,1201.7,1201.9,7262.3,7224.8,7196.8,3300.8,3300.8,3301.2,4835.1,4834.6,4835.5,21558.4,21562.4,12350.7,12350.1,5889,5888.8,5888.9,1069.5,1069.7,1069.9,3230.4,3231.3,3232.2,2902.8,2902.2,2902.7,13665.4,13664.7,59615,59599.2,85508.7,85510.9,85507,1395.7,1394.7,1395.1,5452.6,5451.4,5451.9,5458.7,5458.9,5461.3,28753.8,28753.1,14640.9,14640.3,2353.6,2352.7,2352.7,4993,4992.7,4993.1,2026.9,2026.7,2026.9,1950.3,1950.4,1950.8,11265.7,11269.7,37.450001,30.76,0.1
18,13574.7,13573,1201.7,1201.4,1201.9,7261.1,7224.1,7195.2,3300.6,3300.2,3300.8,4836.2,4836.5,4836.8,21551.4,21552.1,12350.1,12348.5,5888.1,5888,5888.5,1069.4,1069.6,1069.8,3230.6,3230.4,3231.4,2902.6,2901.7,2902.4,13664.6,13663.8,59628.5,59610,85458.2,85514.5,85508.4,1395.4,1394.6,1395,5452.7,5451.6,5451.9,5465.2,5463.9,5464.2,28745.6,28746.1,14648.7,14643.8,2353.5,2352.8,2352.7,4992.7,4992.9,4992.8,2026.6,2026.3,2026.5,1950.2,1950.2,1950.4,11267.3,11266.3,37.380001,30.76,0.1
