Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Sample_Name
1.8,14151.8,14149.6,1256,1255.8,1256.1,11919.8,11997,12037.7,3406,3405.4,3405.8,6368.7,6368.1,6369.2,22303.2,22293,12272.5,12265.8,5895.4,5896.2,5895.1,1147.7,1147.7,1147.8,4281.1,4278.9,4281.2,3606.3,3606.3,3606,15061,15062.7,62714.2,62618.1,102300.6,102467.2,102259.3,1604,1603.3,1604.2,7037.5,7037.3,7038,8078.4,8077.2,8080.4,28085.2,28114.6,15049.2,15044.8,2755.4,2755.6,2755.5,5287.1,5287.8,5288.8,2310.9,2310.3,2309.9,2187.2,2187.1,2187.3,11791.9,11792.2,39.869999,31.24,0.5
3.6,14153.5,14159,1256.1,1255.8,1256.2,11922.5,11995.5,12037.3,3406,3405.4,3405.7,6369.1,6369.6,6372.2,22291.5,22312.6,12273.4,12275.2,5896.6,5895.5,5895.9,1147.8,1147.9,1147.9,4281.4,4280.8,4280.1,3605.6,3605.2,3605.6,15047.1,15050.5,62636.5,62553.5,102060.2,102259.3,102192.6,1604,1603.5,1604.1,7037.3,7036.7,7037.4,8076.8,8077.8,8079.7,28083.2,28085.8,15049,15048.3,2756.5,2756.1,2756.3,5288.7,5288.8,5289.5,2310.7,2310.1,2309.9,2187.7,2187.2,2187.1,11798.8,11800.8,39.869999,31.25,0.5
5.4,14150.4,14152.8,1256.1,1255.9,1256.2,11932.7,12000.2,12036.2,3405.9,3405.6,3405.9,6369,6370.9,6371.1,22312.1,22314.3,12276,12272.6,5896.6,5897.2,5896.8,1147.6,1147.7,1147.8,4281.4,4280.1,4280.6,3606.2,3605.9,3606.2,15050.2,15053.8,62663.3,62639.2,102237.3,102417.8,102431,1604.2,1603.9,1604.5,7038.2,7037.3,7037.8,8076.2,8076.8,8079.8,28079.8,28092.5,15053,15051.4,2755.7,2755.7,2756.3,5288.4,5287.7,5287.8,2310.5,2309.7,2309.8,2187.6,2187.1,2187.6,11792.1,11794.1,39.900002,31.24,0.5
7.2,14157.4,14151.6,1256.1,1255.9,1256.2,11922.5,12000.1,12039.4,3406.5,3406.1,3406.1,6369.2,6367.5,6372,22302.2,22336.2,12273.9,12275.2,5896.9,5896.4,5896.8,1147.8,1147.7,1147.8,4283.1,4281.6,4282,3606.1,3605.8,3606.1,15054.3,15050.9,62658,62721.1,102197.8,102362.3,102517.5,1604.2,1603.7,1604.4,7036.7,7035.8,7037.1,8075.7,8076.6,8074.1,28108.4,28097,15040.5,15046.9,2755.4,2755.4,2755.5,5288.4,5289.1,5288.5,2310.6,2309.7,2309.8,2187.7,2187.1,2187,11796.2,11795.4,39.889999,31.24,0.5
9,14150.8,14152.5,1256.1,1255.9,1256.2,11919.5,11990.7,12036.7,3406.3,3406.3,3406.3,6370.3,6370.3,6371.8,22292.7,22292.1,12274.3,12270.1,5897.2,5895.8,5895.7,1147.6,1147.5,1147.7,4282.5,4282.4,4281.6,3605.9,3606,3605.8,15052.1,15049.9,62626.3,62620.7,102338.5,102225.1,102284.8,1604.1,1603.7,1604.4,7036.4,7036.3,7036.2,8074.2,8075.5,8079,28084.3,28097.1,15039,15049.6,2755.5,2755.5,2756,5287.7,5288.5,5287.8,2310.6,2309.9,2309.5,2187.9,2187.6,2187.6,11794.5,11791.9,39.869999,31.219999,0.5
10.8,14152.3,14150.2,1256.2,1255.9,1256.3,11919.1,11992.5,12037.6,3406,3405.8,3406.4,6368.9,6370.1,6371.1,22320.1,22298.4,12271.2,12271.7,5895.9,5895.5,5895.9,1147.8,1147.7,1147.9,4283.3,4282.2,4282.2,3605.5,3605,3605.9,15047.8,15051,62519.6,62705.9,102175,102247,102050.6,1604.5,1603.8,1604.4,7037,7037,7036.2,8081,8079.1,8080.9,28065.8,28079.2,15034.2,15055,2755.8,2755,2755.6,5287.6,5288.1,5288.3,2310.7,2310.4,2310.2,2188.1,2187.4,2187.6,11790.3,11793.8,39.860001,31.24,0.5
12.6,14149.4,14145.6,1256.2,1256,1256.3,11920.1,11997.8,12033.7,3405.8,3405.4,3405.5,6370.9,6370.3,6370.8,22308.2,22316.4,12265.1,12265.7,5896,5894.9,5895.7,1147.8,1147.7,1147.8,4285.6,4284.7,4284.3,3606,3605.7,3606.1,15055.9,15051.9,62648.4,62683.8,102319.1,102297.1,102364,1604.7,1604.1,1604.8,7040.3,7040.1,7039,8086,8086.8,8088.9,28076.2,28087.5,15038,15040.2,2756.5,2755.9,2756.1,5286.9,5287.3,5287.9,2310.9,2309.9,2309.6,2188,2187.5,2188,11798.6,11795.8,39.869999,31.24,0.5
14.4,14152.4,14152,1256.3,1255.9,1256.3,11927.6,12000.9,12038.9,3406.3,3405.9,3406.5,6371.6,6372.9,6374.3,22298.6,22311.3,12260,12263.5,5895.3,5895,5895.5,1147.7,1147.8,1147.9,4284.7,4284.3,4284.1,3605.9,3606.4,3606.4,15038.9,15045.7,62612.8,62508.8,102355.2,102381.6,102365.8,1604.6,1604.1,1605,7040.5,7039.8,7040.4,8091,8092.9,8094.4,28082.5,28082.4,15039.1,15037,2757.1,2756.8,2756.8,5287.1,5287.4,5288.2,2310.7,2309.6,2309.8,2188.7,2188,2188.1,11792.5,11794.8,39.869999,31.25,0.5
16.2,14147.6,14149.1,1256.2,1256,1256.4,11929.2,12004,12044.3,3406.3,3405.7,3406.2,6373.9,6373.8,6375.3,22315,22314.2,12274.4,12272.4,5896.3,5896.1,5896.5,1148.2,1148.1,1148.1,4289.3,4286.5,4286.6,3607.5,3606.3,3607.2,15047.9,15051.7,62608.8,62556.1,102214.5,102068.9,102226.8,1604.7,1604.2,1605,7040.9,7041.6,7042.4,8095.4,8095.5,8099.8,28073,28082.1,15037.9,15039.5,2757.3,2756.9,2757,5287.7,5287.4,5287.4,2311.1,2309.9,2309.7,2188.1,2187.8,2188,11791.8,11799.5,39.91,31.24,0.5
18,14154.8,14151.1,1256.3,1256,1256.4,11931.3,12007.6,12047.8,3406.5,3406,3406.2,6375.6,6377.4,6378.5,22315,22319.9,12267.3,12267.7,5895.9,5894.7,5895.2,1148.2,1148.2,1148.2,4290.9,4290.4,4289.4,3607.4,3607.2,3607.6,15049.5,15052.6,62558.8,62660,102358.7,102497.2,102414.2,1605.1,1604.7,1605.3,7043.5,7044.1,7043.8,8102.9,8104.2,8106,28085.4,28079.2,15040.9,15044.1,2757.2,2756.3,2756.5,5289.1,5288.3,5288.4,2310.2,2309.9,2309.7,2188.5,2187.9,2188,11786.7,11794.5,39.860001,31.25,0.5
19.8,14151.6,14153.4,1256.4,1256.1,1256.4,11934.4,12011.6,12050,3406.3,3406.1,3406.7,6377.6,6379.1,6380.4,22313.3,22320.6,12269.6,12266.5,5894.5,5894.2,5894.4,1148.2,1148.2,1148.5,4292,4291.1,4291.7,3607.9,3607.3,3607.9,15044.8,15051.8,62521.6,62649.1,102304.2,102453.9,102571.4,1604.9,1604.4,1605.4,7045.6,7043.5,7043.8,8104.4,8108.1,8106.5,28090.5,28077.8,15039.2,15041.3,2757.3,2757.3,2757,5288.2,5288.1,5288,2310.6,2309.9,2309.9,2188.5,2188.3,2188.2,11792.5,11797.4,39.900002,31.24,0.5
21.6,14148.8,14146.7,1256.4,1256.1,1256.4,11938.1,12012.3,12054.7,3406.3,3406.1,3406,6378.6,6379.5,6379.9,22290.3,22290.3,12267.6,12261.6,5894.7,5893.8,5893.7,1148.1,1148.2,1148.2,4293.2,4293.2,4293.7,3607.9,3608,3608.1,15042.5,15035,62524.6,62533.8,102769.9,102092.6,102189.1,1605.4,1604.9,1605.5,7045,7045.1,7043.4,8107.7,8107.9,8109.8,28063.6,28087.3,15039.5,15039.4,2757.2,2756,2756.6,5287.3,5288.7,5288.2,2310.5,2309.9,2309.7,2188.4,2188.2,2188.4,11789.6,11793.5,39.91,31.24,0.5
