Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Sample_Name
1.8,12797.7,12796.1,1107.6,1107.3,1107.8,6341.1,6309.3,6286.4,3009.7,3009.2,3009.8,4747.7,4747.9,4748.2,20935,20941.1,11243.7,11243.9,5372.6,5372.5,5373,1040,1040.2,1040.4,3284.1,3283.6,3283.5,2847,2846.5,2846.8,13000.8,12999.5,56881.6,56928.2,79977,79977.7,79979.9,1365.6,1364.9,1365.2,5223.1,5223.3,5223.1,5449.4,5448.1,5448.1,26429.5,26430.5,13579.9,13573.4,2315.3,2314.5,2314.7,4616.1,4616.1,4616.6,1961.6,1961.2,1961.4,1885.9,1885.6,1886.3,10669.8,10671.5,37.360001,31.190001,0.9
3.6,12797.5,12795.1,1107.5,1107.5,1107.8,6341.6,6310.5,6286.6,3009.8,3009.4,3009.7,4748.6,4747.9,4748.3,20941.9,20937.3,11243.7,11244.4,5372.2,5371.8,5372.5,1039.9,1040.1,1040.4,3285.1,3286,3286.3,2847.4,2846.8,2847.2,13000.6,13000.5,56918.3,56900.3,79909.2,79896.9,79927.1,1365.7,1365,1365.4,5224,5223.1,5223.3,5450.6,5448.9,5448.3,26429.6,26426.8,13580.7,13572.5,2315.8,2315.3,2315.4,4615.8,4616,4616.9,1961.4,1961.2,1961.3,1885.9,1885.9,1886.4,10668.6,10669.8,37.439999,31.190001,0.9
5.4,12793,12794,1107.6,1107.3,1107.7,6342.3,6311,6287.4,3009.9,3009.3,3009.7,4748.8,4747.8,4748.5,20933.6,20933.9,11246,11243.6,5372.3,5371.9,5372.7,1040.1,1040.2,1040.4,3285.5,3286,3286.1,2847.4,2847.1,2847.2,13001.5,13001.4,56905,56879.6,79941,80008.5,79973.1,1365.7,1365,1365.4,5224.1,5222.9,5223.3,5451.5,5449.4,5449.6,26422.9,26426.3,13578.4,13579.5,2315.6,2315.3,2315,4616.5,4616.2,4616.5,1961,1960.9,1961,1885.9,1885.9,1886.1,10666,10668.5,37.439999,31.190001,0.9
7.2,12796.5,12792.7,1107.5,1107.2,1107.6,6341.7,6310.9,6287.2,3009.1,3009,3009.2,4748.4,4747.1,4748.2,20930.1,20935.8,11242.3,11244.2,5372.2,5372.3,5372.6,1040.2,1040.5,1040.6,3286.8,3286.8,3287.4,2847.6,2847,2847.3,12999.9,12998.1,56895.6,56911.3,80030.6,79998.4,79932.6,1365.6,1364.8,1365.2,5224.9,5223.2,5223.2,5451.7,5449.2,5449.8,26420.1,26421.9,13575.7,13578.5,2315.4,2314.9,2314.9,4615.9,4615.7,4616.4,1961.1,1960.8,1961.4,1886,1885.8,1885.9,10667.3,10665.3,37.41,31.209999,0.9
9,12795.6,12794,1107.4,1107.2,1107.5,6344.5,6313,6290,3009.3,3008.8,3009.3,4747.4,4747,4747.5,20924.3,20929.9,11236.7,11236.9,5372.4,5372.5,5372.2,1040.3,1040.4,1040.6,3287.4,3287.3,3287.8,2847.7,2847,2847.4,13001.5,13003.5,56898.3,56874.2,80014.5,80084.7,80117.4,1365.7,1365,1365.3,5224.9,5223.7,5223.9,5451.8,5450.2,5450.1,26416.8,26419.3,13574.1,13575.2,2315.1,2314.4,2314.9,4616.3,4616.1,4615.6,1961.5,1961.1,1961.5,1885.4,1885.5,1885.7,10671.7,10671.1,37.389999,31.190001,0.9
10.8,12795.8,12795.3,1107.3,1107.2,1107.5,6344.5,6313.6,6289.8,3009.1,3008.6,3009.5,4747.7,4747.3,4747.7,20934.9,20932,11238.2,11236.7,5372.5,5371.9,5371.9,1040.2,1040.4,1040.5,3288.2,3287.2,3288.8,2847.5,2847.3,2847.8,12999.6,12998.4,56925.2,56930.5,80057.5,80023,80010.5,1365.6,1364.8,1365.1,5224.6,5223.1,5223.1,5449.8,5448.5,5447.6,26426.7,26421.4,13570.5,13559.2,2315.3,2315,2314.5,4615.3,4615.1,4616.2,1961.5,1961.1,1961.4,1886.1,1885.8,1886.1,10668,10665.5,37.349998,31.18,0.9
12.6,12794.1,12793.3,1107.4,1107.1,1107.5,6343.9,6313,6289.6,3009,3008.5,3008.9,4747.3,4746.7,4747.2,20929.7,20931.9,11239,11238.8,5371.6,5371.5,5371.7,1040.2,1040.5,1040.6,3288.9,3288.5,3288.7,2847.8,2847.3,2847.7,13003.9,13001.2,56939.6,56921.6,80007.9,80026,80082.7,1365.5,1365,1365.4,5224.1,5223.6,5223.6,5446.8,5447.8,5445.9,26425.2,26419.5,13569.4,13573.4,2315.3,2314.7,2314.7,4615.5,4615,4615.1,1961.4,1961,1961,1885.8,1885.8,1885.7,10670.1,10669.1,37.330002,31.190001,0.9
14.4,12797.4,12796,1107.3,1107.1,1107.5,6349.1,6319.2,6295.1,3009.1,3008.5,3008.8,4747.3,4746.5,4747.8,20930.6,20935.9,11238.5,11236.9,5371.8,5371.7,5372,1040.5,1040.6,1040.6,3289,3289,3289.6,2848.4,2848.2,2848.6,13000.7,13000.7,56903.8,56952.4,80014.2,80041.6,80013.9,1365.6,1364.8,1365.3,5224.7,5223.5,5223.5,5447.6,5447.7,5448.1,26425.5,26425.6,13576.2,13573.3,2315.6,2314.4,2314.6,4614.8,4615.2,4615.3,1961.2,1960.7,1961.1,1885.8,1885.6,1885.9,10667,10663.3,37.299999,31.190001,0.9
16.2,12796.3,12794.7,1107.3,1107.1,1107.4,6350.2,6319.3,6296.1,3008.6,3008,3008.4,4746.9,4746.4,4747.1,20924.1,20927,11238.9,11236.8,5372,5371.5,5371.8,1040.3,1040.5,1040.7,3289.5,3289.7,3289.6,2848.4,2848.1,2848.2,13000.5,13003.5,56910.6,56894.4,80062.5,80100.7,80127.7,1365.6,1365,1365.3,5224.3,5222.7,5224,5448,5446.3,5446.9,26424,26427.1,13561.8,13561.1,2315.6,2314.3,2314.5,4615,4614.9,4615,1961.3,1961,1961.2,1885.9,1885.6,1886,10668.8,10671.9,37.23,31.18,0.9
18,12794.3,12794.2,1107.2,1107,1107.4,6351.2,6321.2,6298.2,3008.3,3008,3008.4,4745.8,4745.1,4745.4,20930.3,20937.9,11235.2,11235.9,5371.6,5371.2,5371.1,1040.2,1040.5,1040.6,3289.7,3288.9,3289.7,2848.4,2848,2848.2,12995.6,12997.8,56913.4,56908.9,80134.4,80142,80125.6,1365.4,1364.7,1365.1,5224.9,5223.3,5223.1,5445.1,5442.3,5443.6,26419.4,26422.2,13561.9,13557.4,2314.8,2313.9,2313.7,4614.1,4614.2,4614.3,1961,1960.7,1960.9,1885.7,1885.9,1886.1,10667.4,10666.8,37.16,31.209999,0.9
19.8,12793.8,12791.9,1107,1106.9,1107.3,6350.9,6320.1,6296.5,3008.1,3008,3008.5,4745.7,4745.7,4745.5,20930.7,20934.7,11236.4,11231.5,5370.7,5370.8,5370.8,1040.2,1040.3,1040.6,3290.8,3289.8,3290.8,2848.3,2848.2,2848.1,12997.6,12999.5,56926.6,56897.9,80180,80098.8,80115.6,1365.6,1364.6,1365.1,5222.4,5221.7,5222.6,5446.6,5446.4,5446.2,26418.6,26418.4,13560.7,13565.5,2314.3,2313.7,2313.9,4614.8,4614.9,4614.7,1960.8,1960.6,1960.8,1885.1,1885.4,1885.8,10663.5,10662.9,37.110001,31.209999,0.9
21.6,12792.3,12790.2,1107.1,1106.8,1107.1,6350.7,6320,6296.8,3008,3007.7,3008,4745.1,4744.3,4745.2,20929.9,20931.2,11235.5,11236.3,5370.9,5370.2,5371.1,1040.2,1040.2,1040.5,3289.9,3290.6,3290.4,2848.3,2848.2,2848.3,12997.9,12996.8,56892,56890.3,80043.7,80106.9,80124.9,1365.6,1364.9,1365.2,5223.9,5222.9,5221.8,5444.6,5442.4,5442,26426.1,26427.4,13581.9,13576.9,2314.1,2313.2,2313.1,4614.1,4614.2,4614,1960.8,1960.5,1960.6,1885.6,1885.4,1885.7,10665.5,10665.9,37.130001,31.209999,0.9
23.4,12791.1,12790,1107,1106.8,1107.2,6351.2,6319.9,6297.2,3008.2,3007.8,3007.8,4744.8,4744,4744.6,20930.5,20933.5,11237.9,11237.6,5370,5369.7,5369.6,1040.1,1040.3,1040.5,3289.8,3289.6,3290.1,2848.5,2848.1,2848.4,12999.2,13000.8,56900.7,56893.4,80160.9,80068.3,80097.9,1365.5,1364.9,1365.2,5223,5221.7,5222.7,5446.4,5444.8,5445.8,26418.5,26415.5,13572.6,13569.2,2313.6,2312.9,2313,4614.4,4614.8,4614.3,1960.8,1960.5,1960.8,1885.5,1885.4,1885.5,10664,10663.7,37.099998,31.219999,0.9
25.2,12791.2,12790.5,1107,1106.8,1107.2,6351.3,6320.1,6297.5,3007.8,3007.2,3007.5,4743.1,4743.1,4743.7,20926.8,20931.5,11236.6,11238.8,5370,5369.1,5369.6,1040.1,1040.4,1040.4,3290.8,3290.9,3291.1,2848.6,2848.1,2848.1,12998.3,12996.8,56889.6,56864.6,80089.4,80159.7,80166.3,1365.3,1364.8,1365.2,5222.9,5221.8,5221.5,5444.8,5443.7,5444.3,26422.4,26422.9,13573.6,13570.3,2314.3,2313.6,2313.4,4613.6,4614.1,4614,1961.1,1960.8,1961.1,1885.3,1885.3,1885.5,10664.6,10664.8,37.07,31.190001,0.9
27,12787.7,12786.4,1107,1106.7,1107.1,6353.2,6322.9,6299.6,3007.4,3007.5,3007.5,4742.7,4742.6,4743.5,20934.2,20932,11237,11239.2,5369.9,5369.8,5370,1040.3,1040.4,1040.6,3290.1,3290.9,3290.5,2848.3,2848.2,2848.4,12998.6,12998.9,56902.8,56906.5,80072.4,80064.6,80049.1,1365.3,1364.6,1364.9,5223.6,5222.2,5222.5,5445.7,5445.3,5445.1,26423.7,26421.4,13568.4,13567.4,2313.7,2313.3,2313.1,4613.9,4614,4614.7,1960.5,1960.3,1960.4,1885.2,1885.1,1885.1,10659.1,10658.5,37.07,31.18,0.9
28.8,12786.3,12786.4,1106.8,1106.7,1107,6354.2,6323.8,6300.7,3007.3,3007.2,3007.2,4743.1,4742.2,4742.3,20930.2,20934.5,11240.7,11240,5370.1,5369.4,5370.2,1040.3,1040.4,1040.5,3291.2,3291.2,3291,2848.3,2848,2848.1,13002.4,13000.3,56865.3,56863.8,80144,80081.6,80105.7,1365.3,1364.7,1365.2,5223,5222.8,5221.7,5443,5442.7,5440.8,26415.8,26418.6,13573.8,13573.5,2313.5,2312.2,2312.8,4613.7,4613.3,4613.4,1960.3,1959.9,1960.5,1885.3,1885.2,1885.3,10669.9,10667.2,37.009998,31.209999,0.9
30.6,12786,12785.5,1106.7,1106.6,1107,6353.5,6322.7,6300,3007.1,3006.7,3006.9,4740.9,4741,4740.9,20924.2,20932.5,11235.3,11233.4,5369.6,5369,5369.4,1040.2,1040.4,1040.5,3290.5,3291.4,3291.4,2848.6,2848.4,2848.2,12997.3,12995.1,56906.5,56914.7,80074.4,80140.5,80043.8,1365.3,1364.7,1365.2,5223.4,5221.8,5221.9,5442.5,5442.4,5442.4,26422.4,26419.5,13571.6,13575.2,2313.3,2312.6,2312.7,4613.2,4613.4,4613.6,1960.3,1960.1,1960.3,1885.2,1885.2,1885.2,10660.7,10658.3,36.919998,31.190001,0.9
32.4,12783.8,12784,1106.7,1106.4,1106.9,6353.4,6323,6299.6,3006.9,3006.3,3006.6,4740.9,4740.7,4740.6,20928.1,20928.2,11240.2,11240.4,5369.7,5369.2,5369,1040.1,1040.2,1040.4,3291.4,3291.2,3290.8,2848.5,2847.9,2848.2,12998.4,12995.4,56889,56865.5,79997.8,80098.1,80065.4,1365.2,1364.7,1364.9,5221.9,5221.4,5221.5,5441.6,5440.9,5439.9,26415.3,26415.3,13574.9,13569.2,2313.4,2312.5,2312.5,4613.5,4613.1,4614.1,1960.5,1960,1960.5,1884.9,1884.7,1885.1,10659,10658.6,37.040001,31.18,0.9
34.2,12783.3,12783,1106.6,1106.4,1106.8,6352.6,6322.3,6298.7,3006.4,3005.9,3006.4,4739.4,4740.1,4740.2,20933.3,20932.9,11238.8,11236.5,5368.5,5368.3,5368.4,1040.3,1040.5,1040.6,3291.5,3291.4,3292.4,2848.7,2848.4,2848.6,12995.9,12994.9,56911.6,56920.9,80147.5,80116.8,80086.5,1365.2,1364.4,1364.8,5220.6,5220,5219.7,5440.9,5441.3,5440.3,26417.3,26417.5,13566.2,13567.2,2312.8,2312.6,2312.3,4612.8,4612.5,4613.2,1960.5,1960.2,1960.6,1885,1885.1,1885.4,10658.4,10656.3,37.009998,31.190001,0.9
36,12784.2,12784,1106.5,1106.3,1106.7,6351.5,6321.3,6297.9,3006.3,3006,3006.1,4739.2,4738.6,4739.5,20931.9,20930.7,11234.4,11234.2,5367.7,5367.7,5367.7,1040.1,1040.3,1040.4,3292.2,3291.8,3292.2,2848.7,2847.9,2848.3,12998.4,12998.3,56866.6,56879.1,79987.1,79988.6,80032.2,1365.2,1364.5,1364.9,5220.2,5219.1,5219.5,5438.7,5436.1,5436.7,26414.5,26414.8,13565,13569.1,2312.8,2312,2312.2,4612.5,4612.3,4612.6,1960.4,1960,1960.1,1885.1,1885,1885.3,10662.3,10664.2,37,31.190001,0.9
37.8,12783,12783.6,1106.5,1106.3,1106.7,6348.4,6317.3,6294.7,3006.3,3005.9,3006.2,4738,4738.1,4737.9,20931.4,20935.9,11232.9,11231.6,5367.4,5366.9,5367.3,1040.1,1040.3,1040.5,3291.3,3291.9,3291.9,2847.9,2847.6,2847.5,12994.2,12992.8,56862.2,56897.6,80061.5,80061.9,80019.9,1364.9,1364.4,1364.5,5220,5218.7,5218.4,5436.9,5436.9,5436.7,26407,26405.7,13565.1,13561.1,2312.2,2311.8,2311.7,4612.3,4612.8,4613,1960,1959.7,1960,1884.8,1884.8,1885,10656.2,10654.4,37.040001,31.190001,0.9
39.6,12781.9,12779.8,1106.5,1106.2,1106.6,6346.8,6316.1,6293.1,3006.8,3005.9,3006,4736.7,4736.8,4737.8,20928.3,20928.3,11238.5,11237.6,5367.3,5366.9,5367.7,1040.2,1040.3,1040.5,3292.8,3293.5,3293.2,2847.8,2847.4,2847.6,12992.7,12992.5,56889.9,56884,79897.1,80042.5,80086.6,1365,1364.4,1364.8,5218.4,5217.9,5218.6,5435.4,5435.2,5435.2,26405.9,26412.2,13559.5,13566.8,2312.2,2311.8,2311.8,4611.7,4611.7,4611.8,1960,1959.8,1960,1884.7,1884.7,1885.1,10656.6,10655.8,37.07,31.190001,0.9
41.4,12780.8,12781.3,1106.4,1106.2,1106.7,6345.5,6314.4,6291.6,3005.6,3005.3,3005.9,4737.3,4736.8,4736.8,20929.4,20930.4,11235.7,11235.3,5366.7,5366.2,5366.5,1040.3,1040.4,1040.6,3292.8,3292,3291.9,2848.1,2847.3,2847.7,12994.5,12992.5,56873.9,56924.6,80090.2,80033,80068,1365.4,1364.7,1365,5218.5,5217.9,5217.2,5434.9,5433.6,5435.5,26411,26407.9,13567,13566.4,2311.7,2310.8,2310.9,4611.2,4611.4,4612.1,1959.8,1959.6,1959.9,1884.2,1884.2,1884.8,10658.9,10657.7,37.110001,31.190001,0.9
43.2,12781.9,12780.1,1106.4,1106.1,1106.5,6343,6312.5,6288.9,3005.6,3005.4,3005.7,4736.2,4735.6,4736.2,20928.5,20925.6,11231.8,11233,5366.6,5365.7,5366,1040.2,1040.4,1040.6,3291.7,3292.6,3292.3,2847.6,2847,2847,12993.9,12995.1,56873.6,56856.7,79983,79909.7,79955.4,1365.1,1364.5,1364.8,5216.9,5216.2,5216.2,5434.1,5432.8,5433.4,26404.4,26402.9,13551.5,13558.8,2311.6,2310.9,2311,4611.4,4610.9,4611.4,1960.3,1960,1960.1,1884.6,1884.4,1884.5,10656.3,10656,37.139999,31.18,0.9
45,12782.6,12783,1106.3,1106.1,1106.4,6343.5,6312.6,6289.5,3005.2,3005,3005.5,4736.2,4736.3,4736.2,20924.5,20926.7,11232.7,11233.4,5366,5365.8,5365.6,1040.3,1040.6,1040.6,3293.4,3293.3,3294,2847.6,2847.2,2847.8,12989.6,12988.9,56833.7,56866.3,80066.1,80054.6,80009.8,1365,1364.3,1364.6,5217.8,5216.9,5216.4,5432.9,5431.6,5431.4,26399.9,26399.6,13554.1,13548.8,2311.8,2311,2310.8,4610.6,4610.9,4610.7,1959.9,1959.7,1959.9,1884,1884.3,1884.6,10658.6,10655.8,37.119999,31.18,0.9
46.8,12780.1,12778.9,1106.3,1106,1106.4,6343.2,6312.7,6289.2,3005.4,3005,3005.1,4735.6,4734.7,4735.8,20924.3,20924.2,11225.9,11227.1,5366,5365.6,5365.4,1040.3,1040.6,1040.7,3292.1,3292.9,3292.4,2847.7,2847.4,2847.6,12989.6,12990,56877.4,56865.9,79989.3,79983,79991.8,1364.8,1364.2,1364.5,5216.3,5215.5,5215.6,5432.5,5431.4,5432,26407.4,26403.6,13558.7,13557.1,2311.4,2310.7,2310.7,4610.4,4610.8,4611.1,1959.9,1959.5,1959.5,1884.8,1884.6,1884.6,10659.8,10660.9,37.150002,31.219999,0.9
48.6,12778.8,12778,1106.2,1106,1106.3,6342.4,6312.3,6289.1,3005,3004.6,3005,4734.9,4734.8,4735.4,20923.2,20928.5,11230.3,11232.6,5365.9,5365.3,5366.1,1040.1,1040.4,1040.6,3292.3,3292.8,3293.1,2847.9,2847.4,2847.6,12989.3,12989.1,56858.9,56882.5,80000,80013.9,79977.3,1364.8,1364.2,1364.6,5217.4,5216.2,5216.7,5432.8,5430.6,5431.5,26399.9,26403.8,13555.7,13554.4,2311.5,2310.4,2310,4610.6,4610.5,4610.8,1959.7,1959.3,1959.5,1884.6,1884.8,1884.9,10659.1,10658.2,37.169998,31.219999,0.9
50.4,12779.8,12777.4,1106,1105.9,1106.4,6343.1,6312.3,6289.2,3004.8,3004.4,3004.9,4733.1,4734,4734,20922.8,20922.6,11226.8,11226.9,5365.4,5364.9,5365.1,1040,1040.3,1040.5,3294.1,3293.3,3293.8,2847.7,2847.3,2847.7,12989.5,12987.6,56871.3,56847.9,79913.9,79953.7,79956.9,1364.9,1364.3,1364.6,5217.6,5216.2,5216.4,5431.4,5430.7,5430.9,26399.1,26398.5,13559.9,13557.4,2310.8,2310,2310,4610.7,4610.6,4611,1959.5,1959.2,1959.5,1884.6,1884.3,1884.7,10657.8,10657.6,37.119999,31.209999,0.9
52.2,12776.8,12775,1106.1,1106,1106.3,6344.5,6313.6,6290.6,3004.7,3004.2,3004.6,4733.6,4733.6,4733.4,20928.1,20930.4,11221.7,11223.8,5365,5364.8,5364.6,1040.2,1040.3,1040.6,3293,3292.8,3293.3,2847.6,2847.4,2847.6,12989.4,12989.9,56859.5,56855.6,79981,80025.3,79979.2,1365.2,1364.4,1364.9,5217.1,5216,5215.9,5431.5,5429.2,5428.9,26406.4,26404,13557.6,13554.2,2310.9,2310.1,2310.1,4609.2,4609.4,4610,1959.4,1958.9,1959.1,1884.6,1884.6,1884.8,10656.1,10656.9,37.07,31.219999,0.9
