Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Sample_Name
1.8,13691.7,13684.5,1227.9,1227.6,1228,10367.1,10428.9,10459.9,3306.3,3305.5,3305.9,6207.5,6208.5,6209.5,21724.1,21727.6,11647.2,11642.6,5582.3,5581.6,5581.7,1135.3,1135.2,1135.3,4066.9,4065.6,4064.8,3562.7,3562.3,3562.5,14613.6,14614.8,60005.4,60003.6,99394.8,99229,99388.1,1606.9,1606.4,1607.1,6804.8,6806,6806.7,7773.4,7771.5,7774.6,27253.1,27260.8,14573.7,14564.9,2718.6,2718.3,2719.1,5158.6,5159.1,5159.1,2269.1,2268.3,2268.4,2154.6,2154.2,2154.1,11532.8,11533.1,40.25,31.58,1
3.6,13684.4,13683.1,1227.9,1227.6,1228.1,10363.7,10424.4,10452.1,3306.3,3305.7,3306.2,6206.9,6207.7,6208.3,21712.6,21724.9,11648.2,11645.8,5582.7,5582.3,5582,1135.1,1135.1,1135.3,4064.8,4064.4,4064.7,3562.5,3562.2,3562.9,14609,14612.7,60097.6,60118.6,99354.1,99444.6,99379.8,1606.6,1606.1,1606.9,6804.7,6804.3,6804.6,7774.8,7772,7773.6,27228.6,27227.3,14569.4,14568.8,2718.7,2718.1,2718.8,5157.3,5157.6,5158,2269.4,2268.6,2268.7,2154.5,2154,2154.2,11532.2,11526.5,40.23,31.59,1
5.4,13682.3,13680.1,1227.9,1227.6,1228,10362.1,10427.1,10458.8,3306.4,3306.1,3306.4,6206.6,6206.6,6209.1,21725.5,21728.5,11654.2,11643.2,5581.3,5581.9,5582.8,1134.9,1135,1135.1,4066.4,4066.1,4065.5,3562.3,3562,3562.4,14615.7,14615.8,60084.5,60040.8,99563.6,99461.2,99519.5,1606.6,1606,1606.7,6804.9,6804.9,6805.4,7774.9,7774.6,7772.8,27220.7,27232.8,14559.1,14566.1,2718.5,2718.3,2717.9,5158,5157.8,5157.5,2269.6,2268.7,2268.5,2154.6,2154.3,2153.9,11532.2,11531.2,40.23,31.59,1
7.2,13683.2,13688,1227.8,1227.6,1227.9,10361.6,10422,10454.7,3306,3305.6,3306.1,6205,6207.5,6210.1,21732.8,21723,11651.1,11651.7,5581.7,5581.7,5581.3,1135.1,1135.1,1135.2,4067.1,4066,4065,3561.7,3561.3,3561.6,14617.7,14615.3,60060.2,60085.1,99402.2,99428.8,99347.5,1606.5,1606.2,1606.9,6805.3,6805.7,6806.1,7775.6,7776.4,7776.3,27230.6,27240.5,14567,14565.2,2717.8,2717.7,2717.9,5157.6,5157.5,5158,2269.8,2269,2269.1,2154.4,2154,2154,11528.5,11531.1,40.240002,31.59,1
9,13690.5,13683.8,1227.9,1227.6,1227.9,10363.3,10427.1,10458.5,3306.4,3306.2,3306.3,6206.3,6206.4,6207.3,21725.1,21726.3,11655,11647.7,5581,5580.5,5580.5,1135.2,1135.2,1135.1,4067.1,4066.4,4067,3562.2,3562.1,3562.1,14606.8,14616.1,60078.1,60141.7,99425.5,99167.8,99125.6,1606.6,1606.2,1607,6806.8,6807,6805.3,7784.4,7783.6,7785.4,27231.8,27231.8,14568.1,14569.7,2718.2,2718,2717.9,5157.1,5157.7,5158.5,2269.9,2269.3,2269.1,2154,2153.7,2153.6,11525.1,11528.2,40.240002,31.58,1
10.8,13685.3,13685.3,1228,1227.7,1227.9,10370.1,10430.8,10464.7,3306.5,3306.1,3306.3,6209.6,6210.6,6212.1,21728.1,21737.8,11645.1,11644.2,5582.3,5581.6,5581.3,1135.4,1135.5,1135.5,4070.4,4069.5,4069.1,3563.6,3563.1,3563.4,14608.5,14607.9,60103.1,60068.1,99364.9,99457.9,99090.1,1606.9,1606.6,1607.5,6810,6810.3,6810.4,7788.7,7789.5,7789.5,27226.9,27192,14569.8,14561.7,2718.1,2717.7,2718.4,5158.4,5157.9,5158.4,2269.7,2268.8,2268.8,2154.4,2154,2154.1,11527.9,11531.4,40.23,31.58,1
12.6,13688.9,13686.7,1227.9,1227.6,1228,10374,10435.4,10468.6,3306.3,3305.7,3305.7,6212.1,6212.3,6214.6,21726.9,21724.8,11649,11648.8,5580.9,5581,5581.2,1135.3,1135.2,1135.4,4073.2,4073.5,4073.7,3564,3564.1,3564.4,14611.4,14617.8,60090,60000.5,99337.5,99427.2,99527.8,1607.5,1606.9,1607.7,6811.9,6810.3,6810.7,7796.4,7796.3,7799.5,27244.2,27239.1,14563.8,14559.9,2718.2,2718.2,2718.6,5158.8,5158.3,5158.1,2269.3,2268.7,2268.5,2154.7,2154.4,2154.4,11534,11534,40.150002,31.58,1
14.4,13685,13682.6,1227.9,1227.7,1228,10375.1,10439.7,10469.7,3306,3305.7,3306.2,6213.6,6212.5,6215.3,21727,21717.1,11650.3,11647.8,5582.4,5582.2,5582.3,1135.4,1135.4,1135.5,4075.8,4074.5,4073.6,3565.2,3565.2,3565.1,14608,14605,59948.5,60036.6,99500.4,99685.4,99688.8,1607.6,1607.3,1608.1,6813.9,6813.3,6813.5,7804.8,7801.2,7803.3,27222,27223,14565.2,14566.2,2719.2,2718.1,2718.9,5158.6,5158.3,5157.8,2269.5,2268.4,2268.4,2154.7,2154.3,2154.4,11532.2,11531.1,40.139999,31.559999,1
16.2,13684.1,13682.6,1228,1227.7,1228.1,10380.8,10442.2,10475.4,3306.3,3305.9,3306.4,6215,6216.4,6217.3,21712.7,21724.8,11648.2,11647.6,5581.8,5581.2,5581.9,1135.6,1135.6,1135.7,4076.5,4076,4076.1,3565.4,3565.3,3565.4,14611,14612.1,60011.7,60043.3,99337.5,99468.7,99577.8,1608.1,1607.5,1608.5,6814.9,6814.6,6815.1,7811.7,7812,7815,27225.4,27232.3,14566.3,14561.2,2719.2,2718.6,2718.6,5158.6,5158.4,5158.6,2269.3,2268.7,2268.5,2154.5,2154.2,2153.8,11531.8,11531.8,40.189999,31.58,1
18,13680.4,13678.5,1228,1227.7,1228.1,10384.3,10445,10476.9,3306.2,3305.9,3306.3,6216.2,6216.7,6219.3,21713,21730,11651.4,11651.1,5582.2,5581,5582,1135.7,1135.7,1135.9,4081,4079.8,4080.5,3565.9,3566,3566.3,14608.4,14608.4,59983.9,60056.9,99719.7,99452.9,99628.7,1608.4,1607.8,1608.7,6817.6,6816.1,6818.3,7818.8,7817.5,7818.4,27224.6,27210.3,14559.1,14559.5,2720.1,2719.5,2719.6,5158.2,5158.7,5157.9,2269.2,2268.5,2268.6,2154.7,2154.4,2154.4,11528.6,11532,40.119999,31.58,1
19.8,13679.9,13682,1227.9,1227.8,1228.1,10385.5,10449.1,10483.1,3306.4,3305.8,3306,6219.3,6220.4,6221.7,21734,21735,11644.9,11643,5581.9,5580.8,5582.1,1135.8,1135.9,1136,4081.7,4081.7,4082.4,3566.8,3566.2,3566.6,14608.3,14614.2,60004.8,60125.5,99635.4,99452.9,99754,1608.6,1607.9,1608.7,6818.3,6819.1,6819.1,7823.6,7822.7,7821.8,27220.2,27235.6,14566.9,14570.5,2720.2,2719.6,2720.3,5157.7,5158.2,5158.6,2269.4,2268.5,2268.4,2154.6,2154.3,2154,11527.8,11532.8,40.130001,31.58,1
21.6,13681.1,13684.3,1228,1227.8,1228.1,10390.7,10453.6,10485.4,3306.4,3306.1,3306.2,6220.9,6222.1,6223.2,21727.1,21724.5,11646.2,11649.1,5582.7,5581.5,5581.6,1136,1136,1136.1,4086.7,4085.9,4084.7,3567.7,3566.7,3567.3,14613.8,14616.1,59981.5,60006,99637,99647.9,99873.7,1608.7,1608.1,1608.8,6820.6,6821.4,6821.1,7826.6,7825.7,7829.4,27230.8,27219.8,14565.5,14565.8,2720.3,2720.1,2720.6,5157.9,5157.8,5158.1,2269.5,2268.6,2268.6,2154.7,2154.3,2154.7,11533.8,11542.5,40.130001,31.59,1
23.4,13681.5,13683.1,1228,1227.7,1228,10391.6,10454,10486,3306.6,3306.5,3306.5,6224.9,6224.3,6226,21731,21729.3,11646.9,11641.4,5581.2,5581.5,5581,1136.2,1136.2,1136.4,4087.6,4087.1,4086.2,3567.5,3567.3,3567.6,14614.5,14611.2,60057.5,60021.7,99798.3,99553.6,99447.9,1608.8,1608.5,1609.3,6822.4,6821.7,6821.7,7833.1,7836.3,7831.2,27238,27239.2,14566.5,14564.7,2720.2,2720,2720.1,5157.5,5158.1,5158.3,2269.9,2268.9,2269,2154.9,2154.5,2154.8,11534.4,11536.6,40.150002,31.559999,1
25.2,13683.1,13681.3,1228,1227.8,1228.1,10396.4,10456.7,10492.4,3306.6,3306.1,3306.5,6224.7,6225.8,6227.3,21717.9,21735.6,11650.1,11649.5,5581.6,5580.8,5581.1,1136.2,1136.2,1136.3,4089.9,4089.5,4088.5,3568.5,3568,3568.1,14612.7,14609.2,60045.4,59936.1,99659.5,99647.9,99633.7,1609.4,1608.9,1609.6,6822.6,6822.2,6821.6,7834.2,7836.4,7837.7,27202.2,27237.1,14566,14572.8,2721.1,2720.7,2721.1,5157.7,5157.6,5158.4,2269.8,2268.8,2268.5,2155,2154.3,2154.4,11531.1,11532.5,40.18,31.58,1
27,13685.7,13683.7,1228.2,1227.9,1228.3,10401.2,10462.8,10495,3306.9,3306.4,3306.8,6228.4,6228.1,6230.1,21733.6,21737,11648.5,11648.9,5582.6,5582.4,5581.9,1136.3,1136.4,1136.5,4091.1,4089.7,4090.8,3568.8,3568.5,3568.8,14612.9,14624,60022.3,59951.5,99545.3,99555.3,99688.8,1609.5,1609,1609.7,6822.9,6822.1,6823.9,7840.8,7839,7839.5,27229,27218.8,14574.1,14569.7,2721.1,2720.8,2720.6,5157.8,5157.9,5158.2,2269.6,2268.9,2268.9,2155.2,2154.6,2154.9,11534.7,11537.6,40.16,31.59,1
